,center_lat,center_lon
0,52.0049206,4.3926066
1,52.0058714,4.3726425
2,52.0091276,4.3640613
3,51.9933948,4.3868128
4,52.0108659,4.3807611
5,51.9994379,4.3286138
6,52.0024241,4.3346827
7,52.0012900,4.3307234
8,51.9979106,4.3269823
9,51.9988823,4.3312961
10,51.9993811,4.3320424
11,52.0074755,4.3428786
12,52.0123993,4.3415742
13,52.0169103,4.3408847
14,52.0170749,4.3406998
15,52.0166437,4.3411110
16,52.0043206,4.3481927
17,52.0069876,4.3488398
18,52.0032399,4.3533433
19,52.0033258,4.3543290
20,52.0055958,4.3537911
21,52.0087180,4.3571060
22,52.0075076,4.3580428
23,52.0168063,4.3511266
24,52.0083200,4.3627359
25,52.0238838,4.3533216
26,51.9967553,4.3375455
27,51.9898362,4.3392751
28,51.9908969,4.3408412
29,51.9954793,4.3438203
30,51.9896512,4.3354230
31,51.9970084,4.3495397
32,51.9964480,4.3477135
33,51.9970563,4.3472602
34,51.9971087,4.3557974
35,51.9986321,4.3538324
36,51.9928263,4.3555937
37,51.9907876,4.3521474
38,51.9823639,4.3491161
39,51.9857954,4.3526003
40,51.9864081,4.3528273
41,51.9830331,4.3549948
42,51.9864470,4.3537636
43,52.0197245,4.3796198
44,52.0196392,4.3793156
45,52.0193508,4.3802184
46,52.0162409,4.3673029
47,52.0108673,4.3703992
48,52.0128713,4.3751472
49,52.0107206,4.3887668
50,52.0070037,4.3745032
51,52.0053607,4.3711569
52,52.0042735,4.3686036
53,52.0038768,4.3691862
54,51.9822146,4.3787396
55,51.9902936,4.3734223
56,51.9853322,4.3810779
57,51.9855558,4.3808617
58,51.9854042,4.3815875
59,51.9854715,4.3818388
60,51.9855513,4.3821462
61,51.9858003,4.3879735
62,51.9919208,4.3758778
63,52.0192327,4.3888168
64,52.0181304,4.3882787
65,52.0188337,4.3901107
66,52.0191499,4.3902162
67,52.0253168,4.3956332
68,52.0088464,4.3966433
69,51.9972999,4.3863812
70,51.9962852,4.3471198
71,52.0006872,4.3791114
72,52.0088339,4.3036013
73,52.0107764,4.3060244
74,52.0086442,4.3032163
75,52.0088658,4.3038671
76,52.0089767,4.3037757
77,51.9834807,4.3175868
78,52.0253429,4.3730363
79,52.0245478,4.3741726
80,52.0256342,4.3646637
81,52.0244504,4.3460193
82,52.0258102,4.3551914
83,51.9981038,4.3839343
84,52.0162194,4.3202745
85,52.0148765,4.3182970
86,52.0151506,4.3190924
87,52.0183864,4.3196398
88,52.0176824,4.3192124
89,52.0156269,4.3163220
90,52.0154402,4.3199387
91,52.0151717,4.3212286
92,52.0161971,4.3181509
93,52.0155063,4.3222130
94,52.0153863,4.3178419
95,52.0159230,4.3173555
96,52.0160539,4.3217262
97,52.0181089,4.3188379
98,52.0164867,4.3189972
99,52.0157096,4.3207295
100,52.0150818,4.3168142
101,52.0165986,4.3212245
102,52.0171541,4.3207344
103,52.0145312,4.3173054
104,52.0139719,4.3178118
105,52.0156604,4.3186374
106,52.0179705,4.3200122
107,52.0143386,4.3187961
108,52.0167562,4.3197880
109,52.0146126,4.3195915
110,52.0149022,4.3204378
111,52.0159500,4.3194837
112,51.9979924,4.3859196
113,51.9985604,4.3857383
114,52.0182757,4.3155355
115,52.0108603,4.3685076
116,52.0196943,4.3694556
117,51.9927422,4.3678623
118,51.9928625,4.3685833
119,52.0174255,4.3178059
120,52.0176710,4.3176785
121,52.0172999,4.3174448
122,52.0175125,4.3185037
123,52.0178464,4.3182050
124,52.0171880,4.3181014
125,52.0170223,4.3176018
126,52.0089794,4.3678927
127,51.9786462,4.3677430
128,51.9787687,4.3684266
129,51.9953487,4.3541868
130,51.9953449,4.3532313
131,51.9957933,4.3500716
132,51.9861229,4.3524361
133,51.9861735,4.3520070
134,51.9934614,4.3803482
135,52.0139023,4.3512893
136,51.9945131,4.3771541
137,51.9915930,4.3730648
138,52.0058389,4.3530381
139,51.9961688,4.3609086
140,52.0033040,4.3433802
141,52.0197768,4.3898278
142,52.0023231,4.3707175
143,52.0114492,4.3584341
144,52.0072939,4.3751552
145,52.0238959,4.3090425
146,52.0066181,4.3591398
147,52.0140337,4.3699639
148,52.0149237,4.3672092
149,52.0073378,4.3614629
150,52.0122915,4.3608044
151,52.0119836,4.3609790
152,52.0173805,4.3645176
153,52.0276981,4.3163250
154,52.0058278,4.3595994
155,52.0076307,4.3725173
156,52.0125962,4.3559036
157,52.0259580,4.3092252
158,52.0027824,4.3953277
159,52.0096044,4.3949631
160,51.9843898,4.3397592
161,51.9856093,4.3728447
162,51.9778722,4.3981384
163,51.9762100,4.3843409
164,51.9842812,4.3390474
165,51.9847949,4.3673670
166,51.9850867,4.3713953
167,51.9918980,4.3827277
168,51.9841990,4.3396888
169,51.9854142,4.3629518
170,51.9844622,4.3402014
171,51.9874790,4.3732582
172,51.9831740,4.3597576
173,51.9863268,4.3717844
174,51.9843726,4.3396233
175,51.9841290,4.3391042
176,51.9878916,4.3620166
177,51.9889466,4.3615124
178,51.9823723,4.3787506
179,51.9871091,4.3713128
180,51.9842462,4.3531097
181,51.9843446,4.3394712
182,51.9889611,4.3743993
183,51.9872610,4.3720087
184,51.9868379,4.3754622
185,51.9809632,4.3507382
186,51.9803390,4.3789229
187,51.9872970,4.3678517
188,51.9757047,4.3828752
189,51.9865151,4.3814060
190,51.9843098,4.3402692
191,51.9923931,4.3788507
192,51.9857090,4.3738938
193,51.9875764,4.3726712
194,51.9771775,4.3811952
195,51.9846400,4.3553968
196,51.9849217,4.3741038
197,51.9865169,4.3725869
198,51.9831396,4.3755245
199,51.9864975,4.3759164
200,51.9858012,4.3695301
201,51.9869303,4.3694486
202,51.9853876,4.3713330
203,51.9853615,4.3602634
204,51.9911575,4.3719566
205,51.9844098,4.3544585
206,51.9851956,4.3608521
207,51.9825106,4.3734537
208,51.9893628,4.3635612
209,51.9833583,4.3373585
210,51.9860362,4.3762331
211,51.9868741,4.3562606
212,51.9810652,4.3379416
213,51.9780669,4.3438067
214,51.9787891,4.3450481
215,51.9818575,4.3375192
216,51.9837817,4.3595275
217,51.9831238,4.3401885
218,51.9857127,4.3536297
219,51.9813607,4.3455720
220,51.9819782,4.3422805
221,51.9778829,4.3438407
222,51.9856301,4.3646708
223,51.9865037,4.3600272
224,51.9821419,4.3450106
225,51.9872871,4.3594777
226,51.9820415,4.3644565
227,51.9858831,4.3619037
228,51.9853256,4.3522386
229,51.9788949,4.3492422
230,51.9799848,4.3574102
231,51.9808812,4.3615874
232,51.9805251,4.3429394
233,51.9839461,4.3513547
234,51.9836572,4.3538241
235,51.9873168,4.3596966
236,51.9836517,4.3504891
237,51.9814935,4.3575502
238,51.9872352,4.3609353
239,51.9816909,4.3665584
240,51.9817600,4.3669866
241,51.9838244,4.3459420
242,51.9849622,4.3572651
243,51.9849269,4.3572797
244,51.9804058,4.3586739
245,51.9849201,4.3505998
246,51.9824174,4.3389327
247,51.9838715,4.3524708
248,51.9818761,4.3375660
249,51.9838610,4.3459269
250,51.9803793,4.3382225
251,51.9837065,4.3521317
252,51.9818381,4.3574094
253,51.9819093,4.3486982
254,51.9850246,4.3510619
255,51.9845695,4.3575476
256,51.9797309,4.3547769
257,51.9866866,4.3616623
258,51.9823422,4.3391297
259,51.9850702,4.3620763
260,51.9826021,4.3613732
261,51.9857612,4.3627163
262,51.9817306,4.3612245
263,51.9790331,4.3387018
264,51.9819492,4.3589233
265,51.9859548,4.3622176
266,51.9785204,4.3399274
267,51.9878772,4.3618599
268,51.9825621,4.3617846
269,51.9856762,4.3588947
270,51.9849399,4.3502203
271,51.9815711,4.3674723
272,51.9847683,4.3506618
273,51.9793953,4.3417409
274,51.9804855,4.3462369
275,51.9848570,4.3519245
276,51.9810668,4.3627236
277,51.9793625,4.3417542
278,51.9792982,4.3510625
279,51.9798279,4.3435193
280,51.9803355,4.3494850
281,51.9839864,4.3458524
282,51.9784229,4.3467283
283,51.9819352,4.3420056
284,51.9799318,4.3469057
285,51.9835355,4.3393353
286,51.9817359,4.3562079
287,51.9845556,4.3482497
288,51.9783592,4.3457393
289,51.9785810,4.3403158
290,51.9836827,4.3495636
291,51.9861151,4.3570924
292,51.9791012,4.3396194
293,51.9836668,4.3494619
294,51.9832125,4.3580351
295,51.9860499,4.3629739
296,51.9811003,4.3588176
297,51.9797940,4.3423021
298,51.9846397,4.3580101
299,51.9863969,4.3653211
300,51.9847021,4.3623176
301,51.9817159,4.3560552
302,51.9817548,4.3612146
303,51.9859305,4.3611692
304,51.9794252,4.3419315
305,51.9841576,4.3522012
306,51.9821511,4.3403939
307,51.9782200,4.3437534
308,51.9839430,4.3531080
309,51.9800289,4.3579010
310,51.9849537,4.3571719
311,51.9851287,4.3531129
312,51.9827862,4.3381667
313,51.9840636,4.3654233
314,51.9839491,4.3535415
315,51.9840928,4.3519288
316,51.9823988,4.3599457
317,51.9823573,4.3558173
318,51.9811489,4.3456123
319,51.9814679,4.3432673
320,51.9837326,4.3521210
321,51.9834922,4.3447699
322,51.9841347,4.3493099
323,51.9838532,4.3499418
324,51.9817497,4.3376177
325,51.9814801,4.3387556
326,51.9834452,4.3485353
327,51.9838394,4.3499793
328,51.9821534,4.3651238
329,51.9833868,4.3525216
330,51.9866002,4.3599876
331,51.9820233,4.3796382
332,51.9845595,4.3646562
333,51.9808765,4.3615589
334,51.9858736,4.3626973
335,51.9871706,4.3637703
336,51.9846110,4.3649401
337,51.9837462,4.3537878
338,51.9813094,4.3569871
339,51.9797529,4.3433699
340,51.9867635,4.3564824
341,51.9814547,4.3651023
342,51.9787655,4.3482280
343,51.9832838,4.3571323
344,51.9810282,4.3448632
345,51.9813439,4.3644229
346,51.9834334,4.3386830
347,51.9792353,4.3510781
348,51.9834051,4.3385017
349,51.9779969,4.3447240
350,51.9859518,4.3578940
351,51.9821954,4.3406779
352,51.9850056,4.3661185
353,51.9804946,4.3428911
354,51.9814942,4.3358101
355,51.9838977,4.3537259
356,51.9801280,4.3393134
357,51.9819385,4.3676649
358,51.9797827,4.3426095
359,51.9785713,4.3683711
360,51.9799360,4.3415839
361,51.9840724,4.3515541
362,51.9823653,4.3494605
363,51.9806490,4.3601638
364,51.9833485,4.3522761
365,51.9806886,4.3604062
366,51.9821130,4.3374146
367,51.9797060,4.3432766
368,51.9815385,4.3656149
369,51.9850703,4.3584582
370,51.9925267,4.3790983
371,51.9811955,4.3447199
372,51.9867146,4.3653705
373,51.9800229,4.3576498
374,51.9838060,4.3410660
375,51.9856583,4.3588794
376,51.9816300,4.3661816
377,51.9828606,4.3386451
378,51.9803503,4.3570953
379,51.9816056,4.3621367
380,51.9847283,4.3626014
381,51.9821953,4.3583923
382,51.9791013,4.3399210
383,51.9774411,4.3432549
384,51.9852625,4.3503020
385,51.9944242,4.3843150
386,51.9786287,4.3406215
387,51.9840565,4.3514524
388,51.9846356,4.3519925
389,51.9810737,4.3569699
390,51.9838501,4.3446237
391,51.9857721,4.3687430
392,51.9796034,4.3479675
393,51.9791257,4.3511581
394,51.9854937,4.3539932
395,51.9837455,4.3502342
396,51.9804673,4.3590507
397,51.9820021,4.3633495
398,51.9789565,4.3387256
399,51.9853694,4.3514499
400,51.9818033,4.3672569
401,51.9818184,4.3431238
402,51.9840319,4.3515408
403,51.9788640,4.3421446
404,51.9847345,4.3523806
405,51.9833600,4.3382125
406,51.9845271,4.3644780
407,51.9811102,4.3448198
408,51.9778915,4.3438934
409,51.9825019,4.3628904
410,51.9813124,4.3607096
411,51.9850433,4.3531823
412,51.9920739,4.3711240
413,51.9850940,4.3622287
414,51.9850169,4.3650675
415,51.9813672,4.3456089
416,51.9858363,4.3612078
417,51.9811514,4.3632415
418,51.9847248,4.3625634
419,51.9840896,4.3456620
420,51.9837158,4.3404885
421,51.9818947,4.3620852
422,51.9781796,4.3455654
423,51.9799854,4.3477952
424,51.9848563,4.3496865
425,51.9793926,4.3419451
426,51.9840515,4.3483312
427,51.9800626,4.3476648
428,51.9800247,4.3486579
429,51.9834726,4.3389335
430,51.9804471,4.3381947
431,51.9834277,4.3513168
432,51.9838903,4.3513776
433,51.9845780,4.3483940
434,51.9828828,4.3387889
435,51.9799413,4.3478151
436,51.9846295,4.3525219
437,51.9796628,4.3411265
438,51.9820187,4.3374531
439,51.9839089,4.3513699
440,51.9751540,4.3585214
441,51.9847279,4.3523384
442,51.9809029,4.3380079
443,51.9818859,4.3648006
444,51.9819247,4.3374917
445,51.9817131,4.3424508
446,51.9806021,4.3435630
447,51.9814326,4.3649667
448,51.9791035,4.3387281
449,51.9846576,4.3580251
450,51.9807462,4.3442650
451,51.9816199,4.3427830
452,51.9823809,4.3382346
453,51.9805184,4.3435973
454,51.9808315,4.3612835
455,51.9805272,4.3496852
456,51.9819445,4.3606796
457,51.9856898,4.3650401
458,51.9809425,4.3619625
459,51.9850798,4.3523392
460,51.9841142,4.3483054
461,51.9851715,4.3523017
462,51.9846482,4.3566544
463,51.9750600,4.3831004
464,51.9816235,4.3578526
465,51.9801591,4.3486027
466,51.9823701,4.3406074
467,51.9841507,4.3512707
468,51.9814106,4.3648316
469,51.9825498,4.3400143
470,51.9781311,4.3437913
471,51.9782042,4.3446473
472,51.9836088,4.3398043
473,51.9827814,4.3371162
474,51.9815034,4.3431938
475,51.9785490,4.3463456
476,51.9817554,4.3669582
477,51.9821115,4.3431329
478,51.9807288,4.3465578
479,51.9867716,4.3720212
480,51.9813856,4.3428788
481,51.9827743,4.3729335
482,51.9810695,4.3440988
483,51.9797752,4.3425607
484,51.9853801,4.3815003
485,51.9848217,4.3656935
486,51.9819367,4.3576776
487,51.9850814,4.3685792
488,51.9814944,4.3653448
489,51.9820676,4.3610693
490,51.9826292,4.3405223
491,51.9851029,4.3515589
492,51.9869447,4.3627658
493,51.9852251,4.3523422
494,51.9851056,4.3650306
495,51.9851479,4.3611007
496,51.9799072,4.3467628
497,51.9834830,4.3531393
498,51.9820142,4.3430435
499,51.9806222,4.3599995
500,51.9798575,4.3464748
501,51.9821044,4.3587762
502,51.9818207,4.3577249
503,51.9806544,4.3463047
504,51.9862535,4.3571900
505,51.9798288,4.3528393
506,51.9821659,4.3383226
507,51.9860375,4.3572941
508,51.9868882,4.3572765
509,51.9845764,4.3662438
510,51.9812744,4.3610393
511,51.9817763,4.3574347
512,51.9865140,4.3598252
513,51.9812397,4.3637834
514,51.9800702,4.3486393
515,51.9796813,4.3385087
516,51.9871505,4.3638044
